cid,Probability of nongelator,Probability of gelator
15289164,0.5399155384027392,0.46008446159726085
481528,0.5399903179417148,0.4600096820582852
6478357,0.5400004570272647,0.45999954297273526
515099,0.5400020194508257,0.4599979805491743
189898,0.5401046465026884,0.4598953534973116
366988,0.5401359295392334,0.4598640704607666
464364,0.5401796746545555,0.45982032534544454
5272665,0.5402123641255666,0.4597876358744334
92264844,0.5402164496596695,0.45978355034033047
101436,0.5402164496596695,0.45978355034033047
14367002,0.5402164496596695,0.45978355034033047
59885256,0.5402164496596695,0.45978355034033047
118294346,0.5402269833167637,0.45977301668323634
466401,0.5402988152477053,0.45970118475229466
70021591,0.5403040662628003,0.45969593373719975
1257704,0.5403271004795323,0.4596728995204677
2982085,0.5403271004795323,0.4596728995204677
490684,0.5403847024481833,0.45961529755181674
145710370,0.5404440201614102,0.4595559798385897
135441726,0.540469924102525,0.45953007589747497
135441736,0.5404865206534436,0.4595134793465564
135509123,0.5404865206534436,0.4595134793465564
71732376,0.5405103743341702,0.4594896256658299
13831291,0.5405358050445324,0.4594641949554676
51414401,0.5405358050445324,0.4594641949554676
146108,0.5405358050445324,0.4594641949554676
121487059,0.540595693799834,0.45940430620016603
101335354,0.5406022461428077,0.45939775385719234
64990,0.5407012068987276,0.45929879310127236
451614,0.5407012068987276,0.45929879310127236
89661937,0.5407036325550265,0.45929636744497354
133638842,0.5407093586093397,0.4592906413906604
352589,0.5408341477515228,0.4591658522484771
3000253,0.5408748042862452,0.4591251957137547
3985407,0.5408748042862455,0.4591251957137546
451911,0.5408996121878773,0.4591003878121227
65269,0.5408996121878773,0.4591003878121227
71365426,0.5409055501653104,0.4590944498346896
10264872,0.5410369729354969,0.45896302706450315
18651938,0.5410369831826491,0.45896301681735086
14502614,0.5410369831826491,0.45896301681735086
6481829,0.5410369831826494,0.45896301681735063
169717,0.5410369831826494,0.4589630168173506
67175368,0.5410369831826494,0.4589630168173506
10782439,0.5411170429225832,0.4588829570774168
154701265,0.5411369042601135,0.4588630957398865
9943400,0.5411897771481579,0.45881022285184214
15928727,0.5411897771481579,0.45881022285184214
53678903,0.541225550252801,0.4587744497471991
640874,0.5412362057601221,0.45876379423987784
71412032,0.5412913550326113,0.4587086449673888
54008737,0.5413359686734286,0.4586640313265714
21603711,0.5413511438960084,0.4586488561039916
134694166,0.5413557074100637,0.4586442925899363
10037499,0.5413557074100637,0.4586442925899363
67419448,0.5413557074100637,0.4586442925899363
71315456,0.5413557074100637,0.4586442925899363
154731285,0.5413557074100637,0.4586442925899363
59859763,0.5413557074100637,0.4586442925899363
29942411,0.5413557074100637,0.4586442925899363
56995133,0.5413557074100637,0.4586442925899363
76973833,0.5413557074100637,0.4586442925899363
139024324,0.5413557074100637,0.4586442925899363
91926387,0.5414696540576645,0.4585303459423356
21136976,0.5415560657492695,0.45844393425073054
5273519,0.5415906465928126,0.45840935340718736
121487531,0.5416171086656285,0.45838289133437154
131884920,0.5417337317650577,0.4582662682349424
6475470,0.5417665981338893,0.4582334018661107
502243,0.5418039818482363,0.4581960181517637
492409,0.5418513991546731,0.45814860084532694
122360561,0.5418982262603935,0.4581017737396064
469869,0.5419082788138436,0.4580917211861563
11324342,0.541929335844251,0.4580706641557491
451915,0.5420067304537355,0.45799326954626446
15953881,0.5420067304537355,0.45799326954626446
121486936,0.5420079310194994,0.45799206898050054
516040,0.5420895082034551,0.4579104917965449
69909550,0.542327900074278,0.45767209992572194
3007129,0.542337608358907,0.457662391641093
5274088,0.5424569621924584,0.4575430378075416
14826116,0.5425331180739144,0.4574668819260856
135849775,0.5425769423051694,0.4574230576948306
135602240,0.5425769423051694,0.4574230576948306
135541253,0.5426131661889836,0.4573868338110164
71621663,0.5426445943751581,0.4573554056248419
54123053,0.5426614943972345,0.45733850560276545
10243438,0.5427596058916486,0.4572403941083514
516072,0.5427866763377536,0.45721332366224643
50987538,0.5428522753457878,0.4571477246542121
512719,0.5428522753457878,0.4571477246542121
132663,0.5428744956832116,0.45712550431678844
451615,0.542896835170851,0.457103164829149
126837,0.5429446745293134,0.4570553254706866
5274089,0.5429663651388046,0.45703363486119547
3010386,0.5429759968404637,0.45702400315953623
451896,0.5430007963857744,0.45699920361422564
101335355,0.5430426183722677,0.45695738162773225
160418,0.5430838819230734,0.45691611807692656
53243689,0.5432088867637841,0.45679111323621596
124350898,0.5432497642593042,0.4567502357406959
92280436,0.5432733397782639,0.45672666022173614
15051913,0.543288675852317,0.456711324147683
502246,0.5432928073576772,0.45670719264232285
5273520,0.5433035661493668,0.4566964338506332
469442,0.5433379007599461,0.4566620992400539
13830457,0.5434368485034923,0.4565631514965077
500903,0.5434368485034923,0.4565631514965077
58463530,0.5434368485034923,0.4565631514965077
137705912,0.5434368485034924,0.4565631514965076
446940,0.5434482869183724,0.45655171308162756
102381544,0.5435891805145088,0.45641081948549117
490353,0.5436431420213891,0.4563568579786109
10087961,0.543668900719825,0.45633109928017507
11501773,0.5436819603939814,0.4563180396060186
136168433,0.5437663617927628,0.4562336382072372
11779374,0.5437888378092501,0.4562111621907498
135440057,0.5437920546115665,0.45620794538843346
18604151,0.5437982553654466,0.4562017446345534
3000256,0.5438269489984513,0.4561730510015487
3037010,0.5439156813925241,0.45608431860747595
6476965,0.5439509418685213,0.4560490581314787
9841193,0.5439509418685213,0.4560490581314787
15612873,0.5439530568169846,0.4560469431830155
444171,0.544010870180792,0.4559891298192081
15934097,0.5440550255682357,0.45594497443176435
6481832,0.5441620637530666,0.4558379362469333
135499473,0.5441891883449834,0.4558108116550166
136262333,0.5441986580667171,0.4558013419332829
10833407,0.5442048169461977,0.4557951830538023
584362,0.5442073643951605,0.4557926356048395
92143143,0.5442382546170846,0.45576174538291536
481082,0.5442463335462945,0.4557536664537055
445762,0.5443113168226538,0.45568868317734623
91483617,0.5444490689940225,0.4555509310059775
137214373,0.5444509784895468,0.45554902151045323
13989334,0.5444972965453876,0.45550270345461236
13989335,0.5444972965453876,0.45550270345461236
92229576,0.5444985839653823,0.4555014160346177
44451208,0.5444985839653823,0.4555014160346177
454162,0.5445572674153394,0.4554427325846606
10380149,0.5445915071268768,0.4554084928731233
3010383,0.5446232770228013,0.45537672297719867
71408261,0.5446860257275612,0.45531397427243886
12803803,0.5447015979158598,0.4552984020841402
11425491,0.5447015979158598,0.4552984020841402
100552,0.5447015979158598,0.4552984020841402
688436,0.5447015979158598,0.4552984020841402
59180612,0.544724250915305,0.455275749084695
13871386,0.5447653018547052,0.45523469814529477
10521659,0.5448047251546548,0.45519527484534517
57259416,0.5448464067335985,0.45515359326640153
515106,0.5448464067335985,0.45515359326640153
10966430,0.5448640804549194,0.45513591954508065
10400520,0.5448893558838306,0.45511064411616947
11580280,0.5449070677295191,0.4550929322704808
121487874,0.5449209302119717,0.45507906978802826
512286,0.544980933901852,0.455019066098148
92154324,0.5450311751870631,0.4549688248129368
263959,0.5450311751870631,0.4549688248129368
92242775,0.5450318319461572,0.45496816805384277
3006169,0.5450318319461572,0.45496816805384277
56977943,0.5450383060718115,0.4549616939281885
512725,0.5451331322553796,0.4548668677446203
469095,0.545135723848641,0.45486427615135905
10037425,0.5451503830272266,0.45484961697277343
125924,0.5451503830272266,0.45484961697277343
155889111,0.5451505189893636,0.4548494810106364
136166787,0.5451505189893636,0.4548494810106364
444437,0.5451611370306673,0.4548388629693328
516066,0.5452894216781218,0.4547105783218782
511669,0.5453208949761323,0.45467910502386766
121487049,0.5453208949761323,0.45467910502386766
131846711,0.5453226466802708,0.45467735331972925
265287,0.5453226466802708,0.45467735331972925
470797,0.5454223891908514,0.4545776108091486
391259,0.5454223891908514,0.4545776108091486
484807,0.5454372282292774,0.4545627717707225
91809617,0.5454587345228907,0.45454126547710927
149101,0.5455050417805993,0.4544949582194007
506491,0.5455275493538924,0.45447245064610764
131856440,0.5457201673823259,0.45427983261767413
9900206,0.5458436129753055,0.4541563870246945
131846685,0.5459236183854739,0.4540763816145261
131846683,0.5459236183854739,0.4540763816145261
262974,0.5459236183854741,0.45407638161452585
136132843,0.5459457138275234,0.4540542861724765
506146,0.5459703091153794,0.4540296908846207
87824027,0.5459981394157578,0.45400186058424213
296233,0.5459981394157578,0.45400186058424213
71367841,0.5461828045238708,0.4538171954761292
452281,0.5462415722461791,0.4537584277538209
490444,0.5463213618612979,0.4536786381387021
9973143,0.5463744217968368,0.4536255782031632
121486991,0.5465466161823606,0.45345338381763944
71348719,0.5465466161823606,0.45345338381763944
503312,0.5465571147889312,0.45344288521106874
10399334,0.5466146099347134,0.45338539006528655
481524,0.5466764265268087,0.45332357347319124
71356777,0.5467116653746535,0.4532883346253464
146014346,0.5467557613872264,0.45324423861277363
118703665,0.5467557613872264,0.45324423861277363
11311503,0.5467557613872264,0.45324423861277363
124526965,0.5467557613872264,0.45324423861277363
118703664,0.5467557613872264,0.45324423861277363
58455422,0.5467557613872264,0.45324423861277363
57453626,0.5467557613872264,0.45324423861277363
58463518,0.5467557613872264,0.45324423861277363
131846682,0.5467907626757409,0.45320923732425905
4569866,0.5467907626757409,0.45320923732425905
3010387,0.5468032828734373,0.4531967171265628
14885931,0.5468208392701168,0.4531791607298832
53763859,0.5470800430384817,0.45291995696151827
50989564,0.5470800430384817,0.45291995696151827
56627067,0.5470800430384818,0.4529199569615182
227045,0.5470800430384818,0.4529199569615182
101418,0.5470800430384818,0.4529199569615182
15612716,0.5470800430384818,0.4529199569615182
3009936,0.5471514983270462,0.45284850167295376
493225,0.5472446888855449,0.45275531111445516
360646,0.5472446888855449,0.45275531111445516
3009858,0.5472446888855449,0.45275531111445516
53322921,0.5472596265044961,0.4527403734955039
