,Statistics,Pvalues,Difference_mean,Log_P
ATS4v,0.40350010392187685,0.6865803583016667,1.0204904567628754,0.3760320055601847
ATS5v,0.518785847899556,0.6039100879173571,1.0317239768299837,0.5043299531922083
ATS6v,0.4611429759107164,0.6446960303989435,1.0658269349549552,0.4389763439686144
ATS7v,0.4784358375073683,0.6323400315019327,1.0677265853118663,0.4583280049902085
ATS8v,0.5360787094962078,0.5919041537554992,1.0108648176089834,0.5244105596457813
ATS1e,0.5360787094962078,0.5919041537554992,0.9954160530106312,0.5244105596457813
ATS2e,0.6801858894683067,0.4963867657720248,0.9848602974010248,0.700399886417989
ATS3e,0.5303144222973238,0.595893948833821,0.9804475604987886,0.5176925659479537
ATS4e,0.2997429343419657,0.7643732466005716,0.991255374984886,0.26869906644282876
ATS5e,0.8415859310370575,0.40001976702511455,0.9971210734770773,0.9162413155323762
ATS6e,0.6801858894683067,0.4963867657720248,1.0267556608802368,0.700399886417989
ATS7e,0.6859501766671907,0.49274452735210217,1.0512616027096902,0.7077644393486754
ATS8e,0.766650197451566,0.4432895215684769,1.0260090417780148,0.8135321748475655
ATS1p,0.5706644326895116,0.5682271328927073,1.007391249301944,0.5652340583390679
ATS2p,0.4611429759107164,0.6446960303989435,1.0114046147047104,0.4389763439686144
ATS3p,0.4150286783196448,0.6781209092299321,1.0060222614440106,0.3884296747434977
ATS4p,0.518785847899556,0.6039100879173571,1.0377564077998587,0.5043299531922083
