,C-016,H-052,F10[O-O],VE3sign_D/Dt,SpDiam_AEA(ed),P_VSA_charge_4,CATS2D_05_DL,SM10_AEA(dm),CATS2D_09_DA,CATS2D_06_DL,GATS7s,CATS2D_03_DL,VE1sign_B(p),B09[O-O],MATS3p,SpMAD_EA(ri),VE1sign_Dz(v),F05[N-N],P_VSA_charge_7,F07[N-O],GATS6i,CATS2D_05_DA,CATS2D_04_AA,nN(CO)2,Group
464363,0.25,0.0,0.25,0.8640545980130687,0.20620302050955375,0.1577236234876368,0.0,0.1600433668621274,0.18181818181818182,0.125,0.44241133704651436,0.0,0.5424955268818575,0.0,0.6012610878974823,0.3600192941136928,0.14977934458826314,0.125,0.1798280974131586,0.18181818181818182,0.6548481750758992,0.16666666666666666,0.41666666666666663,0.0,Pubchem
469090,0.0,0.14285714285714285,0.25,0.715939651999714,0.21724601350387363,0.1577236234876368,0.0,0.1726487948666613,0.18181818181818182,0.125,0.3153775576637834,0.16666666666666666,0.3681517883598167,0.0,0.5519684135534022,0.5296715402460661,0.17545148409502603,0.125,0.11109104026409196,0.18181818181818182,0.5253033359945078,0.16666666666666666,0.41666666666666663,0.0,Pubchem
469715,0.0,0.0,0.0,0.7542885703470572,0.1492374537139387,0.0,0.0,0.16776405140435335,0.09090909090909091,0.0,0.3693659561354967,0.16666666666666666,0.4346989744512157,1.0,0.5398519848208682,0.740365176708365,0.1854699291776559,0.0,0.0,0.09090909090909091,0.5511520168829445,0.08333333333333333,0.3333333333333333,0.0,Pubchem
469771,0.25,0.0,0.0,0.8548652126200663,0.3900827853074744,0.1577236234876368,0.0,0.36179192235001156,0.09090909090909091,0.0,0.09391928380606016,0.16666666666666666,0.3466312309405545,0.0,0.5995771844221621,0.4648152048666079,0.108333853806243,0.0,0.06873705714906615,0.09090909090909091,0.6099727402981727,0.08333333333333333,0.16666666666666666,0.0,Pubchem
472166,0.25,0.0,0.0,0.852556371161642,0.2116444994589055,0.0,0.125,0.16544051795928783,0.09090909090909091,0.125,0.3786169680357131,0.16666666666666666,0.49291935122869446,1.0,0.5603435087642066,0.4865345816186082,0.3077639880435336,0.0,0.06873705714906615,0.09090909090909091,0.5164044065117652,0.08333333333333333,0.41666666666666663,0.3333333333333333,Pubchem
472365,0.25,0.0,0.0,0.8672412545848031,0.548828896525118,0.0,0.125,0.527375224996336,0.09090909090909091,0.0,0.30070252072106585,0.0,0.6033827235353056,1.0,0.4780890604035306,0.6542089456751228,0.002564786170228296,0.0,0.0,0.09090909090909091,0.5407720452634708,0.3333333333333333,0.41666666666666663,0.3333333333333333,Pubchem
474672,0.25,0.21428571428571427,0.0,0.847197683607748,0.34929172456178104,0.1577236234876368,0.0,0.3600999875212636,0.09090909090909091,0.25,0.4645648103482174,0.3333333333333333,0.6337509364228229,0.0,0.44304076522682945,0.580745089883651,0.05523106796093263,0.0,0.13275169705822648,0.09090909090909091,0.8240017177316643,0.08333333333333333,0.3333333333333333,0.0,Pubchem
475573,0.0,0.0,0.0,0.8602298383530815,0.13552029002964394,0.3425020291063641,0.0,0.15386261568721293,0.09090909090909091,0.25,0.3536737301283729,0.3333333333333333,0.5136599280131026,0.0,0.3332051693027701,0.4115820572301132,0.004070094757143683,0.0,0.0,0.09090909090909091,0.4733816251814797,0.16666666666666666,0.16666666666666666,0.0,Pubchem
476779,0.25,0.3571428571428571,0.0,0.8763750042704448,0.1329527117415341,0.1577236234876368,0.0,0.14172844331723222,0.09090909090909091,0.25,0.36175025465135724,0.3333333333333333,0.5766669342812033,0.0,0.43041822276404634,0.5835351550286658,0.1394974321828809,0.0,0.12389061455414219,0.09090909090909091,0.6145863287484576,0.08333333333333333,0.0,0.0,Pubchem
477015,0.0,0.0,0.0,0.832930851473386,0.15105021782960515,0.0,0.125,0.16624319545169508,0.09090909090909091,0.0,0.305620150864375,0.3333333333333333,0.45419733993557543,1.0,0.3703987766673512,0.6030320576497843,0.1895876041839634,0.0,0.06401463990916045,0.09090909090909091,0.5481346682646218,0.08333333333333333,0.25,0.3333333333333333,Pubchem
477852,0.75,0.21428571428571427,0.0,0.864138365369469,0.23039621765868468,0.1577236234876368,0.0,0.27650545652563885,0.09090909090909091,0.125,0.4887138828419013,0.3333333333333333,0.609163080727947,0.0,0.41389247792425315,0.5552383359172985,0.11911112619202703,0.0,0.2014887542072924,0.09090909090909091,0.8601082301128091,0.08333333333333333,0.16666666666666666,0.0,Pubchem
480264,0.0,0.0,0.0,0.8397847628509375,0.2195029324610387,0.0,0.125,0.22430675173796444,0.09090909090909091,0.25,0.3068945587883535,0.16666666666666666,0.4863992103155908,1.0,0.528287555048605,0.607014607015488,0.23480470438965287,0.0,0.0,0.09090909090909091,0.4541406843225992,0.3333333333333333,0.41666666666666663,0.3333333333333333,Pubchem
481515,0.0,0.0,0.0,0.8107958715647001,0.42870854552998705,0.1577236234876368,0.25,0.43664039186877746,0.09090909090909091,0.25,0.25630799458032305,0.5,0.37063067704857655,0.0,0.3779604842053395,0.6446560158926538,0.005209425628484206,0.0,0.06401463990916045,0.18181818181818182,0.3703455292649899,0.3333333333333333,0.3333333333333333,0.0,Pubchem
484806,0.25,0.0,0.0,0.8329140531657953,0.406983121030263,0.1577236234876368,0.0,0.41237549613364766,0.09090909090909091,0.25,0.3562139042813487,0.0,0.6169177146622807,0.0,0.439901502027915,0.47468251445556753,0.038267975801595196,0.0,0.06873705714906615,0.09090909090909091,0.761998047586135,0.08333333333333333,0.3333333333333333,0.0,Pubchem
484832,0.0,0.0,0.0,0.8107958715647001,0.42870854552998705,0.0,0.25,0.43664039186877746,0.09090909090909091,0.375,0.27618660745295665,0.5,0.4129024574303271,1.0,0.3756815877493351,0.7060453244480529,0.0052322911984644125,0.0,0.06401463990916045,0.09090909090909091,0.3367671090610935,0.3333333333333333,0.41666666666666663,0.3333333333333333,Pubchem
488968,0.0,0.0,0.0,0.8392580318172356,0.2187374504585211,0.0,0.125,0.2235514119369001,0.09090909090909091,0.25,0.29574098263555804,0.6666666666666666,0.3748037746853203,1.0,0.2839181187870372,0.6179672708185668,0.07417199074809164,0.0,0.06401463990916045,0.09090909090909091,0.4893109657216554,0.3333333333333333,0.3333333333333333,0.3333333333333333,Pubchem
489477,0.0,0.0,0.0,0.8490617033288923,0.21641907667567617,0.14057127397284885,0.25,0.22061535711052804,0.0,0.125,0.3458873801026656,0.16666666666666666,0.46599549062799045,0.0,0.5415752060225123,0.45196564170297293,0.23981477027553383,0.0,0.0,0.09090909090909091,0.5483966687668349,0.16666666666666666,0.16666666666666666,0.0,Pubchem
489478,0.0,0.0,0.0,0.8602298383530815,0.13552029002964394,0.14057127397284885,0.125,0.15386261568721293,0.0,0.125,0.5046139447373703,0.0,0.5282316358623891,0.0,0.566657497055981,0.41261125885206074,0.2869470907484919,0.0,0.0,0.09090909090909091,0.5987111564679088,0.0,0.16666666666666666,0.0,Pubchem
490040,0.0,0.0,0.0,0.8310951410087442,0.3338509806122625,0.4217138219185457,0.125,0.2986708998668802,0.09090909090909091,0.125,0.31828581950563206,0.0,0.8553299189956431,1.0,0.36863388457714813,0.5957380603014011,0.19062012880649465,0.0,0.0,0.09090909090909091,0.46860240138321013,0.3333333333333333,0.41666666666666663,0.3333333333333333,Pubchem
490511,0.0,0.0,0.0,0.7293318405569843,0.19869197465969268,0.0,0.0,0.20347276548584214,0.18181818181818182,0.0,0.2502739248051552,0.0,0.13499498627291476,1.0,0.5747023022169271,0.597225465304426,0.04177074299756121,0.0,0.0,0.18181818181818182,0.3674141207157165,0.3333333333333333,0.41666666666666663,0.0,Pubchem
493218,0.0,0.0,0.0,0.7516633666368868,0.23474969921638933,0.14057127397284885,0.0,0.2374168346016009,0.18181818181818182,0.0,0.3025880262408134,0.0,0.4604073863962267,1.0,0.4665125780868323,0.5787530609578049,0.18053447566446992,0.0,0.0,0.18181818181818182,0.6007474156204429,0.25,0.3333333333333333,0.0,Pubchem
